"","V1","V2"
"result.932",2001,0
"result.933",2001,0
"result.934",2001,0
"result.935",2001,0
"result.936",2001,0
"result.937",2001,0
"result.938",2001,0
"result.939",2001,0
"result.940",2001,0
"result.941",2001,0
"result.942",2001,0
"result.943",2001,0
"result.944",2001,0
"result.945",2001,0
"result.946",2001,0
"result.947",2001,0
"result.948",2001,0
"result.949",2001,0
"result.950",2001,0
"result.951",1021,0.42673924871502
"result.952",2001,0
"result.953",2001,0
"result.954",2001,0
"result.955",2001,0
"result.956",2001,0
"result.957",2001,0
"result.958",2001,0
"result.959",2001,0
"result.960",2001,0
"result.961",2001,0
"result.962",2001,0
"result.963",2001,0
"result.964",2001,0
"result.965",2001,0
"result.966",2001,0
"result.967",2001,0
"result.968",2001,0
"result.969",2001,0
"result.970",2001,0
"result.971",2001,0
"result.972",2001,0
"result.973",2001,0
"result.974",168,0.145641864709408
"result.975",2001,0
"result.976",2001,0
"result.977",2001,0
"result.978",2001,0
"result.979",2001,0
"result.980",2001,0
"result.981",2001,0
"result.982",2001,0
"result.983",2001,0
"result.984",2001,0
"result.985",2001,0
"result.986",2001,0
"result.987",2001,0
"result.988",2001,0
"result.989",2001,0
"result.990",2001,0
"result.991",2001,0
"result.992",2001,0
"result.993",2001,0
"result.994",2001,0
"result.995",2001,0
"result.996",2001,0
"result.997",2001,0
"result.998",2001,0
"result.999",2001,0
"result.1000",2001,0
"result.1001",2001,0
"result.1002",2001,0
"result.1003",2001,0
"result.1004",2001,0
"result.1005",2001,0
"result.1006",2001,0
"result.1007",2001,0
"result.1008",2001,0
"result.1009",2001,0
"result.1010",2001,0
"result.1011",2001,0
"result.1012",2001,0
"result.1013",2001,0
"result.1014",1668,0.729163753002538
"result.1015",2001,0
"result.1016",2001,0
"result.1017",2001,0
"result.1018",2001,0
"result.1019",2001,0
"result.1020",2001,0
"result.1021",2001,0
"result.1022",2001,0
"result.1023",2001,0
"result.1024",2001,0
"result.1025",2001,0
"result.1026",2001,0
"result.1027",2001,0
"result.1028",2001,0
"result.1029",2001,0
"result.1030",2001,0
"result.1031",2001,0
"result.1032",2001,0
"result.1033",2001,0
"result.1034",2001,0
"result.1035",2001,0
"result.1036",2001,0
"result.1037",2001,0
"result.1038",2001,0
"result.1039",2001,0
"result.1040",2001,0
"result.1041",2001,0
"result.1042",2001,0
"result.1043",2001,0
"result.1044",2001,0
"result.1045",2001,0
"result.1046",1251,0.351046673342054
"result.1047",2001,0
"result.1048",2001,0
"result.1049",2001,0
"result.1050",2001,0
"result.1051",2001,0
"result.1052",2001,0
"result.1053",2001,0
"result.1054",2001,0
"result.1055",2001,0
"result.1056",2001,0
"result.1057",2001,0
"result.1058",2001,0
"result.1059",2001,0
"result.1060",2001,0
"result.1061",2001,0
"result.1062",2001,0
"result.1063",2001,0
"result.1064",2001,0
"result.1065",2001,0
"result.1066",2001,0
"result.1067",2001,0
"result.1068",2001,0
"result.1069",2001,0
"result.1070",2001,0
"result.1071",1012,0.5867037726596
"result.1072",2001,0
"result.1073",2001,0
"result.1074",2001,0
"result.1075",2001,0
"result.1076",2001,0
"result.1077",2001,0
"result.1078",2001,0
"result.1079",2001,0
"result.1080",2001,0
"result.1081",1062,0.410634508050904
"result.1082",2001,0
"result.1083",2001,0
"result.1084",2001,0
"result.1085",2001,0
"result.1086",2001,0
"result.1087",2001,0
"result.1088",2001,0
"result.1089",2001,0
"result.1090",2001,0
"result.1091",2001,0
"result.1092",2001,0
"result.1093",2001,0
"result.1094",2001,0
"result.1095",2001,0
"result.1096",2001,0
"result.1097",2001,0
"result.1098",2001,0
"result.1099",2001,0
"result.1100",2001,0
"result.1101",2001,0
"result.1102",2001,0
"result.1103",2001,0
"result.1104",2001,0
"result.1105",2001,0
"result.1106",2001,0
"result.1107",2001,0
"result.1108",2001,0
"result.1109",2001,0
"result.1110",880,0.381847884526969
"result.1111",2001,0
"result.1112",2001,0
"result.1113",2001,0
"result.1114",2001,0
"result.1115",2001,0
"result.1116",2001,0
"result.1117",2001,0
"result.1118",2001,0
"result.1119",171,0.227983245556299
"result.1120",2001,0
"result.1121",2001,0
"result.1122",2001,0
"result.1123",2001,0
"result.1124",2001,0
"result.1125",2001,0
"result.1126",2001,0
"result.1127",2001,0
"result.1128",2001,0
"result.1129",2001,0
"result.1130",2001,0
"result.1131",2001,0
"result.1132",2001,0
"result.1133",2001,0
"result.1134",2001,0
"result.1135",2001,0
"result.1136",2001,0
"result.1137",2001,0
"result.1138",2001,0
"result.1139",2001,0
"result.1140",2001,0
"result.1141",2001,0
"result.1142",2001,0
"result.1143",2001,0
"result.1144",2001,0
"result.1145",2001,0
"result.1146",2001,0
"result.1147",2001,0
"result.1148",2001,0
"result.1149",2001,0
"result.1150",2001,0
"result.1151",2001,0
"result.1152",2001,0
"result.1153",2001,0
"result.1154",2001,0
"result.1155",2001,0
"result.1156",2001,0
"result.1157",2001,0
"result.1158",2001,0
"result.1159",2001,0
"result.1160",2001,0
"result.1161",2001,0
"result.1162",2001,0
"result.1163",2001,0
"result.1164",2001,0
"result.1165",2001,0
"result.1166",2001,0
"result.1167",2001,0
"result.1168",2001,0
"result.1169",2001,0
"result.1170",2001,0
"result.1171",2001,0
"result.1172",2001,0
"result.1173",2001,0
"result.1174",2001,0
"result.1175",2001,0
"result.1176",2001,0
"result.1177",2001,0
"result.1178",2001,0
"result.1179",2001,0
"result.1180",2001,0
"result.1181",2001,0
"result.1182",2001,0
"result.1183",2001,0
"result.1184",2001,0
"result.1185",2001,0
"result.1186",2001,0
"result.1187",2001,0
"result.1188",2001,0
"result.1189",2001,0
"result.1190",2001,0
"result.1191",2001,0
"result.1192",2001,0
"result.1193",2001,0
"result.1194",2001,0
"result.1195",2001,0
"result.1196",2001,0
"result.1197",2001,0
"result.1198",2001,0
"result.1199",2001,0
"result.1200",2001,0
"result.1201",2001,0
"result.1202",2001,0
"result.1203",2001,0
"result.1204",2001,0
"result.1205",2001,0
"result.1206",2001,0
"result.1207",2001,0
"result.1208",2001,0
"result.1209",2001,0
"result.1210",2001,0
"result.1211",2001,0
"result.1212",2001,0
"result.1213",2001,0
"result.1214",2001,0
"result.1215",2001,0
"result.1216",2001,0
"result.1217",2001,0
"result.1218",2001,0
"result.1219",2001,0
"result.1220",2001,0
"result.1221",2001,0
"result.1222",2001,0
"result.1223",1668,0.677393923560299
"result.1224",2001,0
"result.1225",2001,0
"result.1226",2001,0
"result.1227",2001,0
"result.1228",2001,0
"result.1229",2001,0
"result.1230",2001,0
"result.1231",171,0.157371985944621
"result.1232",2001,0
"result.1233",2001,0
"result.1234",2001,0
"result.1235",2001,0
"result.1236",2001,0
"result.1237",2001,0
"result.1238",2001,0
"result.1239",2001,0
"result.1240",939,0.400826748547097
"result.1241",2001,0
"result.1242",2001,0
"result.1243",2001,0
"result.1244",2001,0
"result.1245",2001,0
"result.1246",2001,0
"result.1247",2001,0
"result.1248",2001,0
"result.1249",2001,0
"result.1250",2001,0
"result.1251",2001,0
"result.1252",2001,0
"result.1253",2001,0
"result.1254",2001,0
"result.1255",2001,0
"result.1256",2001,0
"result.1257",2001,0
"result.1258",2001,0
"result.1259",2001,0
"result.1260",2001,0
"result.1261",2001,0
"result.1262",2001,0
"result.1263",2001,0
"result.1264",2001,0
"result.1265",2001,0
"result.1266",2001,0
"result.1267",2001,0
"result.1268",2001,0
"result.1269",2001,0
"result.1270",2001,0
"result.1271",2001,0
"result.1272",2001,0
"result.1273",2001,0
"result.1274",2001,0
"result.1275",2001,0
"result.1276",2001,0
"result.1277",2001,0
"result.1278",2001,0
"result.1279",2001,0
"result.1280",2001,0
"result.1281",2001,0
"result.1282",2001,0
"result.1283",2001,0
"result.1284",2001,0
"result.1285",2001,0
"result.1286",1003,0.672124629494068
"result.1287",2001,0
"result.1288",2001,0
"result.1289",2001,0
"result.1290",2001,0
"result.1291",2001,0
"result.1292",2001,0
"result.1293",2001,0
"result.1294",991,0.50238186270105
"result.1295",1021,0.383151936885358
"result.1296",991,0.348135390003673
"result.1297",2001,0
"result.1298",2001,0
"result.1299",2001,0
"result.1300",1007,0.404024477578856
"result.1301",2001,0
"result.1302",2001,0
"result.1303",2001,0
"result.1304",2001,0
"result.1305",2001,0
